文件名,文件路径,策略类型,真策略,可执行,ML依赖,文件依赖,时间框架,市场类型,账户类型,ML库,代码行数,扫描状态,错误信息
12 用子账户模拟多策略分仓.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/12 用子账户模拟多策略分仓.txt,ETF策略; 多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,ETF,多账户,,741,valid,
12 致敬市场--5 定投ETF之躺平赢.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/12 致敬市场--5 定投ETF之躺平赢.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas,63,valid,
12 致敬聚宽： 机器学习多因子，50只持仓，14年37倍.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/12 致敬聚宽： 机器学习多因子，50只持仓，14年37倍.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,期货/股指,单账户,sklearn; pandas; numpy,113,valid,
13 5年15倍的收益，年化79.93%，可实盘策略，拿走不谢！.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/13 5年15倍的收益，年化79.93%，可实盘策略，拿走不谢！.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,395,valid,
13 7年40倍模拟超过两年年化高回撤低.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/13 7年40倍模拟超过两年年化高回撤低.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,244,valid,
13 【涨停研究三】连板股票收益统计与回测.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/13 【涨停研究三】连板股票收益统计与回测.txt,研究说明/非策略文档; 多账户/子账户策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,期货/股指,多账户,pandas,226,not_strategy,非策略文件（研究文档/配套资料）
13 不含未来宽基etf轮动8年50倍年化60%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/13 不含未来宽基etf轮动8年50倍年化60%.txt,ETF策略; 期货/股指策略,是,是,否,否,日线,ETF,单账户,,245,valid,
13 首板高开-低开-弱转强混合策略（今年收益1138.61%）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/13 首板高开-低开-弱转强混合策略（今年收益1138.61%）.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,260,valid,
14 FOF养老成长基金-v2.0.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/14 FOF养老成长基金-v2.0.txt,依赖ML库策略; ETF策略; 多账户/子账户策略; 期货/股指策略,是,是,是,否,日线,ETF,多账户,pandas; talib; scipy; numpy,650,valid,
14 为实盘做的更新： 分钟级别和盘中止损.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/14 为实盘做的更新： 分钟级别和盘中止损.txt,分钟级/日内策略; 期货/股指策略,是,是,否,否,分钟级,期货/股指,单账户,,342,valid,
14 四年多翻9倍，年化73%，成长因子评分筛选.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/14 四年多翻9倍，年化73%，成长因子评分筛选.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas,202,valid,
14 安全摸狗策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/14 安全摸狗策略.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,92,valid,
14 胜率65%之缩量分歧反包战法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/14 胜率65%之缩量分歧反包战法.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,否,否,是,分钟级,期货/股指,单账户,,271,missing_api,missing_api
15 10年52倍，年化59%，全新因子方法超稳定.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/15 10年52倍，年化59%，全新因子方法超稳定.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,287,valid,
15 2020年 267%年化 13%回撤 上涨趋势策略修改版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/15 2020年 267%年化 13%回撤 上涨趋势策略修改版.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,sklearn; pandas; talib; scipy; numpy,428,valid,
15 小市值排除3个bug版，22年至今收益506%回撤11%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/15 小市值排除3个bug版，22年至今收益506%回撤11%.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,377,valid,
15 小市值策略之再优化，年化接近翻倍.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/15 小市值策略之再优化，年化接近翻倍.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,215,valid,
15 高股息低杠杆小市值轮动策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/15 高股息低杠杆小市值轮动策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; numpy,301,valid,
16 ETF轮动策略升级-多类别-低回撤.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/16 ETF轮动策略升级-多类别-低回撤.txt,依赖ML库策略; ETF策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,ETF,单账户,pandas; talib,312,valid,
16 动量ETF轮动RSRS择时-升级.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/16 动量ETF轮动RSRS择时-升级.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,statsmodels; numpy,223,valid,
16 大市值价值投资，从2005年至今超额稳定.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/16 大市值价值投资，从2005年至今超额稳定.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,160,valid,
16 集合竞价三合一，今年收益1067%，年化198%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/16 集合竞价三合一，今年收益1067%，年化198%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,475,valid,
17 5年多因子超额收益1055%，K线风险过滤，无未来函数.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/17 5年多因子超额收益1055%，K线风险过滤，无未来函数.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,statsmodels,295,valid,
"17 8年13倍的ETF动量轮动策略,有滑点,无未来函数,回撤小.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/17 8年13倍的ETF动量轮动策略,有滑点,无未来函数,回撤小.txt",依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,numpy,288,valid,
17 基金跟随策略，19年年化60%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/17 基金跟随策略，19年年化60%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,490,valid,
17 多品种ETF动量轮动+EPO优化.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/17 多品种ETF动量轮动+EPO优化.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; talib; scipy; statsmodels; numpy,150,valid,
17 科技与狠活.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/17 科技与狠活.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; numpy,277,valid,
18 20行代码8年高胜率躲过了牛年第一场大跌.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/18 20行代码8年高胜率躲过了牛年第一场大跌.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,28,valid,
18 6年17倍的etf+分级b的轮动趋势策略跟随感悟.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/18 6年17倍的etf+分级b的轮动趋势策略跟随感悟.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,是,是,是,是,分钟级,ETF,单账户,pandas; talib,250,valid,
18 动量ETF轮动-RSRS择时-卡尔曼滤波.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/18 动量ETF轮动-RSRS择时-卡尔曼滤波.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,numpy,191,valid,
18 国庆节献礼：实例说明白马股攻防转换策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/18 国庆节献礼：实例说明白马股攻防转换策略.txt,研究说明/非策略文档; 依赖文件资源策略; 期货/股指策略,否,否,否,是,日线,期货/股指,单账户,,227,not_strategy,非策略文件（研究文档/配套资料）
18 微盘股400多角度深入研究.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/18 微盘股400多角度深入研究.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,期货/股指,单账户,pandas,90,not_strategy,非策略文件（研究文档/配套资料）
19 【复现】高频价量相关性，意想不到的选股因子.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/19 【复现】高频价量相关性，意想不到的选股因子.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,sklearn; pandas; numpy,124,valid,
19 复现FFScore财务模型.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/19 复现FFScore财务模型.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; numpy,369,valid,
19 机器学习线性回归小市值.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/19 机器学习线性回归小市值.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,期货/股指,单账户,pandas; numpy,302,valid,
19 简单到发指的股指策略(2013到现在收益10949%).txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/19 简单到发指的股指策略(2013到现在收益10949%).txt,多账户/子账户策略; 期货/股指策略,是,是,否,否,日线,期货/股指,多账户,,64,valid,
19 高股息低市盈率稳健增长的价投策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/19 高股息低市盈率稳健增长的价投策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,205,valid,
20 【复现】因子择时？？？.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/20 【复现】因子择时？？？.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,sklearn; pandas; scipy; statsmodels; numpy,420,valid,
20 人人可躺平16年3400%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/20 人人可躺平16年3400%.txt,研究说明/非策略文档; 分钟级/日内策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,分钟级,期货/股指,单账户,numpy,66,no_initialize,no_initialize
20 冲天炮最高板策略，收益惊呆了我.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/20 冲天炮最高板策略，收益惊呆了我.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,sklearn,158,valid,
20 小市值高频交易法有赚就好 2年3.86%低回撤.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/20 小市值高频交易法有赚就好 2年3.86%低回撤.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,111,valid,
21 【原创】年化123%最大回撤14%涨停弱转强竞价战法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/21 【原创】年化123%最大回撤14%涨停弱转强竞价战法.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,345,valid,
21 以“网红”ETF轮动为例.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/21 以“网红”ETF轮动为例.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,是,是,是,是,分钟级,ETF,单账户,pandas; talib,243,valid,
